dataset,category,synthetic,gpu_name,cuda_version,cuda_visible_devices,warmup_iters,timed_iters,cold_iters,M,K,nnz,N,avg_nnz_per_row,cv_d,max_nnz_per_row,kernel,ms_warm,preprocess_ms,cold_exec_ms,ms_cold,ms_cusparse_warm,ms_cusparse_cold,ms_csr_direct_warm,ms_csr_direct_cold,speedup_vs_cusparse_warm,speedup_vs_cusparse_cold,speedup_vs_csr_direct_warm,speedup_vs_csr_direct_cold,correct,soft_fail,hard_fail,max_error,tolerance,error
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,TC_DIRECT,2.186573,151.723901,2.276912,154.000814,3.025475,4.614676,3.259274,3.280384,1.383661,0.029965,1.490586,0.021301,True,False,False,9.5367431640625e-07,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,COMMUNITY_TC,2.178263,449.39078,2.267984,451.658764,3.025475,4.614676,3.259274,3.280384,1.388939,0.010217,1.496272,0.007263,True,False,False,0.0021505355834960938,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,SEGMENT_HYBRID,3.518546,52.059798,3.593587,55.653385,3.025475,4.614676,3.259274,3.280384,0.859865,0.082918,0.926313,0.058943,True,False,False,9.5367431640625e-07,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,128,2.826785,0.36288,9,CUSPARSE,3.025475,1.578993,3.035683,4.614676,3.025475,4.614676,3.259274,3.280384,1.0,1.0,1.077277,0.710859,True,False,False,0.0,0.0,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,CSR_DIRECT,6.947568,0.0,6.967194,6.967194,6.045702,8.039423,6.947568,6.967194,0.87019,1.153897,1.0,1.0,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,RODE_ENHANCED,6.806682,13.001327,6.895747,19.897075,6.045702,8.039423,6.947568,6.967194,0.888201,0.404051,1.020698,0.350162,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,ZERO_OVERHEAD_CSR,7.283052,3.259643,7.33225,10.591892,6.045702,8.039423,6.947568,6.967194,0.830106,0.759017,0.953936,0.657786,True,False,False,9.5367431640625e-07,0.003,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,TC_DIRECT,4.501391,184.579039,4.597165,189.176204,6.045702,8.039423,6.947568,6.967194,1.343074,0.042497,1.543427,0.036829,True,False,False,9.5367431640625e-07,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,COMMUNITY_TC,4.473989,463.958084,4.572538,468.530622,6.045702,8.039423,6.947568,6.967194,1.3513,0.017159,1.55288,0.01487,True,False,False,0.002411365509033203,0.03,
roadNet-PA,Sparse Uniform,False,NVIDIA GeForce RTX 3090,11.8,1,50,200,10,1090920,1090920,3083796,256,2.826785,0.36288,9,SEGMENT_HYBRID,6.936156,52.401847,7.031139,59.432986,6.045702,8.039423,6.947568,6.967194,0.871621,0.135269,1.001645,0.117228,True,False,False,9.5367431640625e-07,0.03,
