M,N,category,cusparse_cold_exec_ms,cusparse_ms_cold,cusparse_ms_warm,cusparse_preprocess_ms,dataset,dtc_cold_exec_ms,dtc_correct,dtc_end_to_end_ms,dtc_failure_class,dtc_failure_detail,dtc_hard_fail,dtc_max_error,dtc_mean_kernel_ms,dtc_ms,dtc_ms_cold,dtc_ms_warm,dtc_preprocess_ms,dtc_reorder_method,dtc_reorder_ms,dtc_reorder_version,dtc_selection_variant_ms,dtc_soft_fail,dtc_speedup_vs_cusparse_cold,dtc_speedup_vs_cusparse_warm,dtc_std_kernel_ms,dtc_tolerance,dtc_variant,dtc_variant_count,nnz,pyg_cold_exec_ms,pyg_correct,pyg_hard_fail,pyg_max_error,pyg_ms_cold,pyg_ms_warm,pyg_preprocess_ms,pyg_soft_fail,pyg_speedup_vs_cusparse_cold,pyg_speedup_vs_cusparse_warm,pyg_tolerance
200000,64,Sparse Skewed,1.9303935766220093,3.121736526489258,1.9227904081344604,1.191343069076538,synth_sparse_skewed_cv2p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,6166484,3.8543007612228393,True,False,1.33514404296875e-05,4.898912545386702,3.8040985107421874,1.0446117841638625,False,0.6372305072947244,0.5054523174688554,0.01
200000,128,Sparse Skewed,4.017555236816406,5.295589447021484,4.00978946685791,1.2780343294143677,synth_sparse_skewed_cv2p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,6166484,7.6913024425506595,True,False,1.71661376953125e-05,8.708118438813836,7.633745727539062,1.0168159962631762,False,0.6081209717380481,0.5252715521283902,0.01
200000,256,Sparse Skewed,8.005523681640625,9.375130653381348,7.997931480407715,1.3696067333221436,synth_sparse_skewed_cv2p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,6166484,15.379823875427245,True,False,1.33514404296875e-05,16.410835474543273,15.319193115234375,1.0310115991160274,False,0.5712768656979218,0.5220856882112195,0.01
200000,512,Sparse Skewed,16.035263061523438,17.536535263061523,16.02495574951172,1.5012720823287964,synth_sparse_skewed_cv2p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,6166484,30.749161529541016,True,False,1.71661376953125e-05,31.807249935530127,30.70075439453125,1.0580884059891105,False,0.551337676114917,0.5219727028064906,0.01
200000,64,Sparse Skewed,4.687094688415527,5.964846611022949,4.681400299072266,1.2777520418167114,synth_sparse_skewed_cv3p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,16207364,8.616070365905761,True,False,3.4332275390625e-05,11.325243940018117,8.578569946289063,2.7091735741123557,False,0.5266859277040356,0.5457087053416585,0.01549193338482967
200000,128,Sparse Skewed,9.760704040527344,11.0067720413208,9.754383087158203,1.2460683584213257,synth_sparse_skewed_cv3p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,16207364,17.259584045410158,True,False,2.86102294921875e-05,19.998275958374144,17.214730224609376,2.7386919129639864,False,0.5503860464887619,0.566630029044184,0.01549193338482967
200000,256,Sparse Skewed,19.439769744873047,20.81954574584961,19.427614212036133,1.379776954650879,synth_sparse_skewed_cv3p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,16207364,34.61562881469727,True,False,3.4332275390625e-05,37.37153431624174,34.544716796875,2.7559055015444756,False,0.5570963602851434,0.5623903164779629,0.01549193338482967
200000,512,Sparse Skewed,38.93529510498047,40.410682678222656,38.92900466918945,1.475388526916504,synth_sparse_skewed_cv3p0,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,16207364,69.32890853881835,True,False,3.4332275390625e-05,72.09303092481568,69.2555712890625,2.764122385997325,False,0.5605352162314567,0.5621064694810697,0.01549193338482967
200000,64,Community,0.35973119735717773,1.5955661535263062,0.3529472053050995,1.2358349561691284,synth_community_nc10,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,1089063,0.9879711985588073,True,False,1.9073486328125e-06,1.3140023772604763,0.9351065826416015,0.326031178701669,False,1.2142795029434068,0.3774406167776638,0.004358898943540674
200000,128,Community,0.8085504174232483,2.0413036346435547,0.8014233112335205,1.2327531576156616,synth_community_nc10,,,,skipped_reorder_filter,,,,,nan,,,,,,,,,,,,,,,1089063,1.8907360076904296,True,False,1.430511474609375e-06,2.2107219133526086,1.862476806640625,0.319985905662179,False,0.9233651787292743,0.430299753734415,0.004358898943540674
