kernel,N,category,profiles,mean_tc_pipe_pct,mean_achieved_occupancy_pct,mean_dram_throughput_pct,mean_mem_workload_pct,mean_cuda_core_achieved_gflops,mean_cuda_core_pct_fp32_peak,mean_cuda_core_ai_flop_per_byte,hmma_insts_total,dominant_stall,dominant_stall_value,second_stall,second_stall_value,third_stall,third_stall_value
TC_DIRECT,512,Dense Large-Scale,4,0.0,85.04945925,88.98984525,88.98984525,518.8248656494376,1.4581924273452433,0.6428842469845722,0,long_scoreboard,117.15202300000001,lg_throttle,3.6863507500000003,wait,1.631783
TC_DIRECT,512,Dense Small,6,0.0,67.57349966666668,42.585949166666666,52.69475433333333,441.8722454865211,1.2419118760160797,1.3153745457918087,0,long_scoreboard,59.607497833333326,wait,1.7229286666666666,selected,1.0000093333333333
TC_DIRECT,512,Mixed/Irregular,5,0.0,51.506725,30.827961,33.8928412,194.82665053518645,0.5475734978504396,2.0041994720506793,0,long_scoreboard,63.2502224,wait,1.7777792000000001,selected,1.0000019999999998
TC_DIRECT,512,Sparse Skewed,3,0.0,83.82600066666667,87.19463133333333,87.19463133333333,439.7140526043101,1.235846128736116,0.5681339190264679,0,long_scoreboard,127.57180433333332,wait,1.6559426666666666,selected,1.0
TC_DIRECT,512,Sparse Uniform,9,0.0,83.40600244444444,90.79303644444445,90.79303644444445,515.2014947720331,1.4480086980664224,0.6229268474516558,0,long_scoreboard,85.61058411111111,wait,1.8039125555555557,selected,1.0
ZERO_OVERHEAD_CSR,128,Community,4,0.0,73.6105065,73.9953035,75.5430745,457.818216752302,1.2867291083538561,0.677627870147907,0,long_scoreboard,60.858379750000005,wait,2.1046405,selected,1.00000225
ZERO_OVERHEAD_CSR,128,Dense Large-Scale,4,0.0,53.99506975,36.0492385,50.19564625,424.4456788583381,1.1929333301246152,1.3377769394656904,0,long_scoreboard,37.37930375,wait,2.8276627500000004,selected,1.0
ZERO_OVERHEAD_CSR,128,Dense Small,6,0.0,22.2845765,13.592941166666668,42.13916583333333,420.6286513155833,1.1822053156705545,3.1559097179496827,0,long_scoreboard,20.669945833333333,wait,1.9758146666666667,imc_miss,1.4356673333333332
ZERO_OVERHEAD_CSR,128,Mixed/Irregular,5,0.0,25.7797146,38.3221356,40.127356400000004,218.18396943859662,0.6132208247290519,1.0775733522113442,0,long_scoreboard,36.488307199999994,imc_miss,2.1699349999999997,wait,1.7941358
ZERO_OVERHEAD_CSR,128,Sparse Skewed,3,0.0,42.44309933333333,57.205009,62.045999333333334,401.53156456559356,1.1285316598246025,0.8345131286598039,0,long_scoreboard,36.596291,wait,2.4949023333333336,selected,0.999998
ZERO_OVERHEAD_CSR,128,Sparse Uniform,9,0.0,82.02219544444445,88.35897666666666,88.35897666666666,469.2805443675804,1.3189447565137167,0.5904762987093478,0,long_scoreboard,74.61851777777777,wait,1.928541222222222,selected,1.0000030000000002
ZERO_OVERHEAD_CSR,512,Community,4,0.0,82.19864375,84.78675075,84.78675075,441.50111136948,1.240868778441484,0.569708555336216,0,long_scoreboard,89.51091650000001,wait,1.93970875,selected,0.9999975
ZERO_OVERHEAD_CSR,512,Dense Large-Scale,4,0.0,92.6157105,75.59148549999999,75.59148549999999,527.7796381039998,1.483360421877459,0.7450115896744618,0,long_scoreboard,91.79341124999999,wait,2.2243435,selected,1.0
ZERO_OVERHEAD_CSR,512,Dense Small,6,0.0,65.95471016666666,71.382748,77.09510116666667,575.518919906944,1.6175349069897245,0.9114082839207058,0,long_scoreboard,50.308717333333334,wait,1.8102773333333335,selected,0.9999991666666667
ZERO_OVERHEAD_CSR,512,Mixed/Irregular,5,0.0,40.796129199999996,48.95738659999999,49.021636799999996,238.6314703659974,0.6706899110904929,0.6477438752499192,0,long_scoreboard,57.186829,wait,1.8157558000000003,selected,0.9999994000000001
ZERO_OVERHEAD_CSR,512,Sparse Skewed,3,0.0,96.50048,90.572535,90.572535,519.0451518098031,1.458811556519964,0.6408245662729445,0,long_scoreboard,131.78816633333335,wait,1.7081836666666668,selected,0.9999983333333334
ZERO_OVERHEAD_CSR,512,Sparse Uniform,9,0.0,88.06088244444443,93.08954355555557,93.08954355555557,435.8153475577426,1.22488855412519,0.514099867591649,0,long_scoreboard,110.73678855555556,wait,1.7508697777777777,selected,0.9999996666666667
